Bank,Category,Metric,Unit,Year,Value
City Bank,BALANCE SHEET,Total Assets,Tk mn,2025,843341
City Bank,BALANCE SHEET,Total Assets,Tk mn,2024,698062
City Bank,BALANCE SHEET,Total Assets,Tk mn,2023,555738
City Bank,BALANCE SHEET,Total Assets,Tk mn,2022,506847
City Bank,BALANCE SHEET,Total Assets,Tk mn,2021,416902
City Bank,BALANCE SHEET,Total Assets,Tk mn,2020,382926
City Bank,BALANCE SHEET,Total Assets,Tk mn,2019,354689
City Bank,BALANCE SHEET,Total Assets,Tk mn,2018,324780
City Bank,BALANCE SHEET,Total Assets,Tk mn,2017,275531
City Bank,BALANCE SHEET,Total Assets,Tk mn,2016,254776
City Bank,BALANCE SHEET,Total Assets,Tk mn,2015,210221
City Bank,BALANCE SHEET,"Loans & Advances, gross",Tk mn,2025,506201
City Bank,BALANCE SHEET,"Loans & Advances, gross",Tk mn,2024,444978
City Bank,BALANCE SHEET,"Loans & Advances, gross",Tk mn,2023,396078
City Bank,BALANCE SHEET,"Loans & Advances, gross",Tk mn,2022,354774
City Bank,BALANCE SHEET,"Loans & Advances, gross",Tk mn,2021,286380
City Bank,BALANCE SHEET,"Loans & Advances, gross",Tk mn,2020,268202
City Bank,BALANCE SHEET,"Loans & Advances, gross",Tk mn,2019,246944
City Bank,BALANCE SHEET,"Loans & Advances, gross",Tk mn,2018,231391
City Bank,BALANCE SHEET,"Loans & Advances, gross",Tk mn,2017,196596
City Bank,BALANCE SHEET,"Loans & Advances, gross",Tk mn,2016,175025
City Bank,BALANCE SHEET,"Loans & Advances, gross",Tk mn,2015,143088
City Bank,BALANCE SHEET,Total Deposits,Tk mn,2025,631642
City Bank,BALANCE SHEET,Total Deposits,Tk mn,2024,514204
City Bank,BALANCE SHEET,Total Deposits,Tk mn,2023,392510
City Bank,BALANCE SHEET,Total Deposits,Tk mn,2022,331890
City Bank,BALANCE SHEET,Total Deposits,Tk mn,2021,282064
City Bank,BALANCE SHEET,Total Deposits,Tk mn,2020,254781
City Bank,BALANCE SHEET,Total Deposits,Tk mn,2019,246704
City Bank,BALANCE SHEET,Total Deposits,Tk mn,2018,205170
City Bank,BALANCE SHEET,Total Deposits,Tk mn,2017,183493
City Bank,BALANCE SHEET,Total Deposits,Tk mn,2016,174695
City Bank,BALANCE SHEET,Total Deposits,Tk mn,2015,143729
City Bank,BALANCE SHEET,Shareholders' Equity,Tk mn,2025,61102
City Bank,BALANCE SHEET,Shareholders' Equity,Tk mn,2024,46121
City Bank,BALANCE SHEET,Shareholders' Equity,Tk mn,2023,37220
City Bank,BALANCE SHEET,Shareholders' Equity,Tk mn,2022,32845
City Bank,BALANCE SHEET,Shareholders' Equity,Tk mn,2021,31224
City Bank,BALANCE SHEET,Shareholders' Equity,Tk mn,2020,28818
City Bank,BALANCE SHEET,Shareholders' Equity,Tk mn,2019,25416
City Bank,BALANCE SHEET,Shareholders' Equity,Tk mn,2018,24430
City Bank,BALANCE SHEET,Shareholders' Equity,Tk mn,2017,24869
City Bank,BALANCE SHEET,Shareholders' Equity,Tk mn,2016,20653
City Bank,BALANCE SHEET,Shareholders' Equity,Tk mn,2015,20890
City Bank,INCOME STATEMENT,Net Interest Income,Tk mn,2025,2847
City Bank,INCOME STATEMENT,Net Interest Income,Tk mn,2024,14742
City Bank,INCOME STATEMENT,Net Interest Income,Tk mn,2023,15831
City Bank,INCOME STATEMENT,Net Interest Income,Tk mn,2022,12359
City Bank,INCOME STATEMENT,Net Interest Income,Tk mn,2021,12048
City Bank,INCOME STATEMENT,Net Interest Income,Tk mn,2020,8363
City Bank,INCOME STATEMENT,Net Interest Income,Tk mn,2019,10832
City Bank,INCOME STATEMENT,Net Interest Income,Tk mn,2018,9201
City Bank,INCOME STATEMENT,Net Interest Income,Tk mn,2017,7495
City Bank,INCOME STATEMENT,Net Interest Income,Tk mn,2016,6477
City Bank,INCOME STATEMENT,Net Interest Income,Tk mn,2015,5506
City Bank,INCOME STATEMENT,Non-Interest Income,Tk mn,2025,9443
City Bank,INCOME STATEMENT,Non-Interest Income,Tk mn,2024,8431
City Bank,INCOME STATEMENT,Non-Interest Income,Tk mn,2023,7063
City Bank,INCOME STATEMENT,Non-Interest Income,Tk mn,2022,8624
City Bank,INCOME STATEMENT,Non-Interest Income,Tk mn,2021,6776
City Bank,INCOME STATEMENT,Non-Interest Income,Tk mn,2020,4936
City Bank,INCOME STATEMENT,Non-Interest Income,Tk mn,2019,5367
City Bank,INCOME STATEMENT,Non-Interest Income,Tk mn,2018,4859
City Bank,INCOME STATEMENT,Non-Interest Income,Tk mn,2017,4630
City Bank,INCOME STATEMENT,Non-Interest Income,Tk mn,2016,3173
City Bank,INCOME STATEMENT,Non-Interest Income,Tk mn,2015,2888
City Bank,INCOME STATEMENT,Net Profit After Tax,Tk mn,2025,13059
City Bank,INCOME STATEMENT,Net Profit After Tax,Tk mn,2024,10851
City Bank,INCOME STATEMENT,Net Profit After Tax,Tk mn,2023,6151
City Bank,INCOME STATEMENT,Net Profit After Tax,Tk mn,2022,4508
City Bank,INCOME STATEMENT,Net Profit After Tax,Tk mn,2021,4743
City Bank,INCOME STATEMENT,Net Profit After Tax,Tk mn,2020,4012
City Bank,INCOME STATEMENT,Net Profit After Tax,Tk mn,2019,2472
City Bank,INCOME STATEMENT,Net Profit After Tax,Tk mn,2018,2018
City Bank,INCOME STATEMENT,Net Profit After Tax,Tk mn,2017,3628
City Bank,INCOME STATEMENT,Net Profit After Tax,Tk mn,2016,3956
City Bank,INCOME STATEMENT,Net Profit After Tax,Tk mn,2015,3600
City Bank,PER-SHARE & PROFITABILITY,EPS,BDT,2025,8.6
City Bank,PER-SHARE & PROFITABILITY,EPS,BDT,2024,8.1
City Bank,PER-SHARE & PROFITABILITY,EPS,BDT,2023,5
City Bank,PER-SHARE & PROFITABILITY,EPS,BDT,2022,3.8
City Bank,PER-SHARE & PROFITABILITY,EPS,BDT,2021,4.4
City Bank,PER-SHARE & PROFITABILITY,EPS,BDT,2020,3.9
City Bank,PER-SHARE & PROFITABILITY,EPS,BDT,2019,2.4
City Bank,PER-SHARE & PROFITABILITY,EPS,BDT,2018,2.1
City Bank,PER-SHARE & PROFITABILITY,EPS,BDT,2017,4.1
City Bank,PER-SHARE & PROFITABILITY,EPS,BDT,2016,4.5
City Bank,PER-SHARE & PROFITABILITY,EPS,BDT,2015,4.1
City Bank,PER-SHARE & PROFITABILITY,ROA %,%,2025,1.7
City Bank,PER-SHARE & PROFITABILITY,ROA %,%,2024,1.7
City Bank,PER-SHARE & PROFITABILITY,ROA %,%,2023,1.2
City Bank,PER-SHARE & PROFITABILITY,ROA %,%,2022,1
City Bank,PER-SHARE & PROFITABILITY,ROA %,%,2021,1.2
City Bank,PER-SHARE & PROFITABILITY,ROA %,%,2020,1.1
City Bank,PER-SHARE & PROFITABILITY,ROA %,%,2019,0.7
City Bank,PER-SHARE & PROFITABILITY,ROA %,%,2018,0.7
