Bank,Statistic,Value
City Bank,Mean ROE % (2015-2025),16.7272727272727
City Bank,Std Dev ROE % (2015-2025),5.33612048385171
City Bank,"Sharpe-like ratio (rf=3%, full period)",2.57251926166482
City Bank,Rolling mean ROE % (2019-2024 window),16.3666666666667
City Bank,Rolling std dev ROE % (2019-2024),5.36755686198727
City Bank,Rolling Sharpe-like ratio (2019-2024),2.49027015648938
City Bank,Equity CAGR % (2015-2025),0.113298691402603
City Bank,"Max drawdown in NPAT %, 2015-2025 (peak-to-trough)",-49
City Bank,"Newey-West (HAC) trend regression: NPL% vs year, slope",-0.398
IFIC Bank,Mean ROE % (2015-2025),-6.01909090909091
IFIC Bank,Std Dev ROE % (2015-2025),44.5123693942584
IFIC Bank,"Sharpe-like ratio (rf=3%, full period)",-0.202619879189228
IFIC Bank,Rolling mean ROE % (2019-2024 window),6.085
IFIC Bank,Rolling std dev ROE % (2019-2024),5.45122279860216
IFIC Bank,Rolling Sharpe-like ratio (2019-2024),0.565928070448905
IFIC Bank,Equity CAGR % (2015-2025),-0.0752373242702141
IFIC Bank,"Max drawdown in NPAT %, 2015-2025 (peak-to-trough)",-844.2
IFIC Bank,"Newey-West (HAC) trend regression: NPL% vs year, slope",4.34690909090909
Bank Asia Ltd,Mean ROE % (2015-2025),9.586
Bank Asia Ltd,Std Dev ROE % (2015-2025),1.68926808608541
Bank Asia Ltd,"Sharpe-like ratio (rf=3%, full period)",3.89872990216842
Bank Asia Ltd,Rolling mean ROE % (2019-2024 window),9.00333333333333
Bank Asia Ltd,Rolling std dev ROE % (2019-2024),1.18552379422206
Bank Asia Ltd,Rolling Sharpe-like ratio (2019-2024),5.06386574659408
Bank Asia Ltd,Equity CAGR % (2015-2025),0.0707694112412984
Bank Asia Ltd,"Max drawdown in NPAT %, 2015-2025 (peak-to-trough)",-21.3
Bank Asia Ltd,"Newey-West (HAC) trend regression: NPL% vs year, slope",0.554848484848485
BRAC Bank Ltd,Summery ,
BRAC Bank Ltd,Mean ROE % (2015-2025),15.6
BRAC Bank Ltd,Std Dev ROE % (2015-2025),4.49341073128197
BRAC Bank Ltd,"Sharpe-like ratio (rf=3%, full period)",2.80410600176877
BRAC Bank Ltd,Rolling mean ROE % (2019-2024 window),12.785
BRAC Bank Ltd,Rolling std dev ROE % (2019-2024),2.97252586195646
BRAC Bank Ltd,Rolling Sharpe-like ratio (2019-2024),3.2918132438248
BRAC Bank Ltd,Equity CAGR % (2015-2025),0.1814625631651
BRAC Bank Ltd,"Max drawdown in NPAT %, 2015-2025 (peak-to-trough)",-19.6
BRAC Bank Ltd,"Newey-West (HAC) trend regression: NPL% vs year, slope",-0.191545454545455
Dutch-Bangla Bank PLC,Mean ROE % (2015-2025),0.157545454545455
Dutch-Bangla Bank PLC,Std Dev ROE % (2015-2025),0.0348664986379867
Dutch-Bangla Bank PLC,"Sharpe-like ratio (rf=3%, full period)",3.65810905963741
Dutch-Bangla Bank PLC,Rolling mean ROE % (2019-2024 window),0.155833333333333
Dutch-Bangla Bank PLC,Rolling std dev ROE % (2019-2024),0.0330418926011611
Dutch-Bangla Bank PLC,Rolling Sharpe-like ratio (2019-2024),3.80829678409255
Dutch-Bangla Bank PLC,Equity CAGR % (2015-2025),0.136196627683645
Dutch-Bangla Bank PLC,"Max drawdown in NPAT %, 2015-2025 (peak-to-trough)",-41.2
Dutch-Bangla Bank PLC,"Newey-West (HAC) trend regression: NPL% vs year, slope",0.194545454545455
Eastern Bank Ltd,Mean ROE % (2015-2025),15.333
Eastern Bank Ltd,Std Dev ROE % (2015-2025),2.70782015650966
Eastern Bank Ltd,"Sharpe-like ratio (rf=3%, full period)",4.55458608296094
Eastern Bank Ltd,Rolling mean ROE % (2019-2024 window),16.335
Eastern Bank Ltd,Rolling std dev ROE % (2019-2024),1.31831331632507
Eastern Bank Ltd,Rolling Sharpe-like ratio (2019-2024),10.1151978326159
Eastern Bank Ltd,Equity CAGR % (2015-2025),0.0951211952462685
Eastern Bank Ltd,"Max drawdown in NPAT %, 2015-2025 (peak-to-trough)",0
Eastern Bank Ltd,"Newey-West (HAC) trend regression: NPL% vs year, slope",-0.00562770562770563
Mutual Trust Bank,Summery ,
Mutual Trust Bank,Mean ROE % (2015-2025),0.135127272727273
Mutual Trust Bank,Std Dev ROE % (2015-2025),0.0203210280699128
Mutual Trust Bank,"Sharpe-like ratio (rf=3%, full period)",5.17332451712538
Mutual Trust Bank,Rolling mean ROE % (2019-2024 window),0.141166666666667
Mutual Trust Bank,Rolling std dev ROE % (2019-2024),0.0208486610281492
Mutual Trust Bank,Rolling Sharpe-like ratio (2019-2024),5.33207703442312
Mutual Trust Bank,Equity CAGR % (2015-2025),0.040218881780975
Mutual Trust Bank,"Max drawdown in NPAT %, 2015-2025 (peak-to-trough)",-42.3
Mutual Trust Bank,"Newey-West (HAC) trend regression: NPL% vs year, slope",0.47465367965368
Prime Bank PLC,Mean ROE % (2015-2025),11.2781818181818
Prime Bank PLC,Std Dev ROE % (2015-2025),5.56953107214929
Prime Bank PLC,"Sharpe-like ratio (rf=3%, full period)",1.4863337165991
Prime Bank PLC,Rolling mean ROE % (2019-2024 window),12.155
Prime Bank PLC,Rolling std dev ROE % (2019-2024),5.48839047444695
Prime Bank PLC,Rolling Sharpe-like ratio (2019-2024),1.66806644728071
Prime Bank PLC,Equity CAGR % (2015-2025),0.0579402009430652
Prime Bank PLC,"Max drawdown in NPAT %, 2015-2025 (peak-to-trough)",-43
Prime Bank PLC,"Newey-West (HAC) trend regression: NPL% vs year, slope",-0.395
Mercantile Bank Ltd,Mean ROE % (2015-2025),0.1064
Mercantile Bank Ltd,Std Dev ROE % (2015-2025),0.0474284092079842
Mercantile Bank Ltd,"Sharpe-like ratio (rf=3%, full period)",1.6108488831023
Mercantile Bank Ltd,Rolling mean ROE % (2019-2024 window),0.0916166666666667
Mercantile Bank Ltd,Rolling std dev ROE % (2019-2024),0.0404011592242929
Mercantile Bank Ltd,Rolling Sharpe-like ratio (2019-2024),1.5251212551747
Mercantile Bank Ltd,Equity CAGR % (2015-2025),0.0548634380117949
Mercantile Bank Ltd,"Max drawdown in NPAT %, 2015-2025 (peak-to-trough)",-81.5
Mercantile Bank Ltd,"Newey-West (HAC) trend regression: NPL% vs year, slope",1.007
Southeast Bank PLC,Mean ROE % (2015-2025),0.0730181818181818
Southeast Bank PLC,Std Dev ROE % (2015-2025),0.0291313171065717
Southeast Bank PLC,"Sharpe-like ratio (rf=3%, full period)",1.47669882761591
Southeast Bank PLC,Rolling mean ROE % (2019-2024 window),0.05935
Southeast Bank PLC,Rolling std dev ROE % (2019-2024),0.0245156072737348
Southeast Bank PLC,Rolling Sharpe-like ratio (2019-2024),1.19719653167411
Southeast Bank PLC,Equity CAGR % (2015-2025),0.023792808968391
Southeast Bank PLC,"Max drawdown in NPAT %, 2015-2025 (peak-to-trough)",-85.9
Southeast Bank PLC,"Newey-West (HAC) trend regression: NPL% vs year, slope",0.620727272727273
Pubali Bank PLC,Summery ,
Pubali Bank PLC,Mean ROE % (2015-2025),0.10133
Pubali Bank PLC,Std Dev ROE % (2015-2025),0.0520981349634194
Pubali Bank PLC,"Sharpe-like ratio (rf=3%, full period)",1.36914690036571
Pubali Bank PLC,Rolling mean ROE % (2019-2024 window),0.11525
Pubali Bank PLC,Rolling std dev ROE % (2019-2024),0.0308297745693996
Pubali Bank PLC,Rolling Sharpe-like ratio (2019-2024),2.76518402066474
Pubali Bank PLC,Equity CAGR % (2015-2025),0.119793834420722
Pubali Bank PLC,"Max drawdown in NPAT %, 2015-2025 (peak-to-trough)",-121.1
Pubali Bank PLC,"Newey-West (HAC) trend regression: NPL% vs year, slope",-0.465575757575758
