Category,Metric,Unit,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
BALANCE SHEET,Total Assets,Tk mn,1179672,930133,726723,563271,449084,397502,369404,315417,279187,248605,224493
BALANCE SHEET,Loans & Advances,Tk mn,730659,623372,519452,410676,321212,273063,264091,238008,202559,173612,147434
BALANCE SHEET,Total Deposits,Tk mn,889517,689433,513909,384467,314591,289054,268309,233509,196224,168860,143321
BALANCE SHEET,Shareholders' Equity,Tk mn,99702,75797,63782,58418,54419,46955,38919,31638,25991,21441,18815
INCOME STATEMENT,Net Interest Income,Tk mn,11778,13461,17719,15235,13997,11380,15038,13538,12147,10806,8716
INCOME STATEMENT,Non-Interest Income,Tk mn,8233,9524,6317,6152,3586,2672,3279,2666,2981,2661,3960
INCOME STATEMENT,Net Profit After Tax,Tk mn,15809,12136,7304,5763,5547,4541,5646,5547,5250,4460,2435
PER-SHARE & PROFITABILITY,EPS,BDT,7.94,6.1,4.13,3.58,3.71,3.42,4.26,4.5,4.91,5.23,3.43
PER-SHARE & PROFITABILITY,ROA %,%,1.5,1.46,1.13,1.14,1.31,1.18,1.64,1.87,2.02,1.89,1.13
PER-SHARE & PROFITABILITY,ROE %,%,18.02,17.36,11.95,10.22,11,10.58,15.6,19.25,22.14,22.16,13.32
ASSET QUALITY,Loan-Deposit Ratio %,%,63.48,70.75,74.29,79.94,81.86,76.69,82.1,82.78,83.39,83.47,82.24
ASSET QUALITY,NPL % (gross),%,2.27,2.63,3.38,3.72,3.9,2.93,3.99,3.1,3.56,3.4,5.99
ASSET QUALITY,Provision Coverage %,%,120,120,102,99,108,114,65,76,86,94,77.94
CAPITAL & EFFICIENCY,CRAR % (Group),%,19.64,19.05,18.6,19.38,20.42,15.13,16.16,15.7,11.97,12.06,12.29
CAPITAL & EFFICIENCY,Cost-to-Income Ratio % (Group),%,52,57,66,70,68,71,68,64,60,57,56.29
DERIVED METRICS,Estimated NPL amount (NPL% x Loans),Tk mn,16587,16394.7,17557.5,15277.2,12527.3,8000.8,10537.2,7378.3,7211.1,5902.8,8831.3
DERIVED METRICS,NPL / Total Assets % (estimated),%,1.41,1.76,2.42,2.71,2.79,2.01,2.85,2.34,2.58,2.37,3.93
DERIVED METRICS,YoY NPAT growth %,%,30.26,66.16,26.75,3.89,22.16,-19.57,1.78,5.66,17.71,83.16,N/A
DERIVED METRICS,YoY Equity growth %,%,31.54,18.84,9.18,7.35,15.89,20.65,23.02,21.73,21.22,13.96,N/A
