Category,Metric,Unit,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
BALANCE SHEET,Total Assets,Tk mn,843341,698062,555738,506847,416902,382926,354689,324780,275531,254776,210221
BALANCE SHEET,"Loans & Advances, gross",Tk mn,506201,444978,396078,354774,286380,268202,246944,231391,196596,175025,143088
BALANCE SHEET,Total Deposits,Tk mn,631642,514204,392510,331890,282064,254781,246704,205170,183493,174695,143729
BALANCE SHEET,Shareholders' Equity,Tk mn,61102,46121,37220,32845,31224,28818,25416,24430,24869,20653,20890
INCOME STATEMENT,Net Interest Income,Tk mn,2847,14742,15831,12359,12048,8363,10832,9201,7495,6477,5506
INCOME STATEMENT,Non-Interest Income,Tk mn,9443,8431,7063,8624,6776,4936,5367,4859,4630,3173,2888
INCOME STATEMENT,Net Profit After Tax,Tk mn,13059,10851,6151,4508,4743,4012,2472,2018,3628,3956,3600
PER-SHARE & PROFITABILITY,EPS,BDT,8.6,8.1,5,3.8,4.4,3.9,2.4,2.1,4.1,4.5,4.1
PER-SHARE & PROFITABILITY,ROA %,%,1.7,1.7,1.2,1,1.2,1.1,0.7,0.7,1.4,1.7,1.9
PER-SHARE & PROFITABILITY,ROE %,%,24.4,26,17.6,14.1,15.8,14.8,9.9,8.2,15.9,19,18.3
ASSET QUALITY,NPL % (gross),%,2.5,3.7,3.6,3.9,4.9,4,5.8,5.3,5.4,6,7.6
ASSET QUALITY,NPL amount,Tk mn,12669,16569,14385,13671,13906,10850,14244,12326,10678,10582,10845
ASSET QUALITY,Provision Coverage %,%,127,106.8,110.1,104.7,90.1,83.8,71,64.6,56.7,59.6,57.5
ASSET QUALITY,Loan-Deposit Ratio %,%,71.3,74.7,83.7,83.2,84.7,74.7,79.1,82.5,84.9,80.4,79.2
CAPITAL & EFFICIENCY,Capital Adequacy Ratio %,%,15.7,16,15.8,14.5,14.2,15.5,15.2,13.4,14.7,13.2,13.2
CAPITAL & EFFICIENCY,Cost-to-Income Ratio %,%,43.7,42.1,51.1,51.9,48.6,57.9,54.7,58,53.9,47.6,47.6
DERIVED METRICS (formulas),NPL / Total Assets %,%,1.5022393077059,2.37357140196716,2.58844995303542,2.69726367128542,3.33555607792719,2.83344562657015,4.01591253182365,3.79518443253895,3.875425995623,4.15345244450027,5.15885663183031
DERIVED METRICS (formulas),YoY NPAT growth %,%,0.203483549903235,0.764103397821492,0.364463176574978,-0.0495467004005904,0.182203389830508,0.622977346278317,0.224975222993062,-0.443770672546858,-0.082912032355915,0.0988888888888888,
DERIVED METRICS (formulas),YoY Total Assets growth %,%,0.208117617059803,0.256099097056527,0.0964610622140409,0.215746146576414,0.0887273259063108,0.0796105884309917,0.0920900301742718,0.178742137908257,0.081463717147612,0.211943621236699,
