Category,Metric,Unit,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
BALANCE SHEET,Total Assets,Tk mn,761604,616050,506271,455989,388815,336936,335163,282451,253068,N/A,189563
BALANCE SHEET,Loans & Advances,Tk mn,477040,410718,353357,308916,269394,228944,232051,209306,184027,N/A,130226
BALANCE SHEET,Total Deposits,Tk mn,556454,457692,366104,317097,268019,242358,240164,199629,167348,N/A,127990
BALANCE SHEET,Shareholders' Equity,Tk mn,50850,43064,37484,35045,31017,28976,25567,22966,21586,N/A,20496
INCOME STATEMENT,Net Interest Income,Tk mn,9833,10585,8148,6699,7761,5930,8159,7506,5745,N/A,3545
INCOME STATEMENT,Non-Interest Income,Tk mn,21144,16042,12380,11090,9397,8204,6439,5633,6656,N/A,6542
INCOME STATEMENT,Net Profit After Tax,Tk mn,9010,7504,6109,5107,4654,4103,4008,3081,2405,N/A,2221
PER-SHARE & PROFITABILITY,EPS,BDT,5.65,5.53,5.06,4.76,4.88,5.05,4.94,4.17,3.26,N/A,3.63
PER-SHARE & PROFITABILITY,ROA %,%,1.31,1.34,1.27,1.21,1.28,1.22,1.3,1.15,1.04,N/A,1.23
PER-SHARE & PROFITABILITY,ROE %,%,19.13,18.63,16.85,15.46,15.51,15.04,16.52,13.83,11.41,N/A,10.95
ASSET QUALITY,Loan-Deposit Ratio %,%,74.65,80.19,79.45,77.83,79.69,74.13,77.2,83.08,83.06,N/A,87.87
ASSET QUALITY,NPL % (gross),%,2.24,3.34,3.1,2.78,3.7,2.72,3.35,2.35,2.5,N/A,3.27
ASSET QUALITY,Provision Coverage %,%,161.04,114.49,147.61,168.46,141.31,179.51,120.42,150.39,159.52,N/A,116.85
CAPITAL & EFFICIENCY,CRAR % (Group),%,14.88,14.65,15.07,14.61,13.87,15.03,14.74,12.16,14.09,N/A,13.92
CAPITAL & EFFICIENCY,Cost-to-Income Ratio % (Group),%,41.69,40.95,44.22,43.53,39.1,45.8,43.76,45.63,45.2,N/A,48.33
DERIVED METRICS,Estimated NPL amount (NPL% x Loans),Tk mn,10685.7,13718,10954.1,8587.9,9967.6,6227.3,7773.7,4918.7,4600.7,N/A,4258.4
DERIVED METRICS,NPL / Total Assets % (estimated),%,1.4,2.23,2.16,1.88,2.56,1.85,2.32,1.74,1.82,N/A,2.25
DERIVED METRICS,YoY NPAT growth %,%,20.1,22.8,19.6,9.7,13.4,2.4,30.1,28.1,N/A,N/A,5.4
DERIVED METRICS,YoY Equity growth %,%,18.1,14.9,7,13,7,13.3,11.3,,,,
