Category,Metric,Unit,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
BALANCE SHEET,Total Assets,Tk mn,586402.1,565693.6,529936.5,470548.02,410402.92,363412,316950,283073,253249,200251.06,180737.39
BALANCE SHEET,Loans & Advances,Tk mn,443295,447266.1,414982.8,355858.87,306333.35,260650,228589,206930,179264,141258.76,125668.04
BALANCE SHEET,Total Deposits,Tk mn,517162,474592,442071.4,375552.71,332751.26,296374,258368,226364,200206,160132.62,146848.21
BALANCE SHEET,Shareholders' Equity,Tk mn,5658.3,31045.4,36125.3,33609,30236.31,25217,24597,22116,20539,13922.4,12370.38
INCOME STATEMENT,Net Interest Income,Tk mn,-22094.7,2733.6,8377,8099,7165,2864,6398,4560,5492,4405.43,3774.51
INCOME STATEMENT,Non-Interest Income,Tk mn,10182.5,8823.6,7282.6,7458,7188,5560,4722,4441,4270,4247.43,4305.47
INCOME STATEMENT,Net Profit After Tax,Tk mn,-25616.9,-1024.7,3005.2,3442,2541,562,2444,1570,2068,1582.53,1057.14
PER-SHARE & PROFITABILITY,EPS,BDT,-13.33,-0.53,1.56,1.93,1.42,0.35,1.51,1.07,1.54,2.81,1.87
PER-SHARE & PROFITABILITY,ROA %,%,-4.45,-0.19,0.57,0.78,0.61,0.2,0.8,0.6,0.9,0.65,0.53
PER-SHARE & PROFITABILITY,ROE %,%,-139.59,-3.25,8.32,10.24,8.4,2.3,10.5,7.4,12.4,9.46,7.61
ASSET QUALITY,Loan-Deposit Ratio %,%,84.19,91.34,93.9,94.76,92.06,82.4,84.08,86.83,85.04,85.62,83.96
ASSET QUALITY,NPL % (gross),%,61.47,54.97,7.99,5.61,6.09,3.97,5.37,6.16,6.4,5.29,6.46
ASSET QUALITY,Provision Coverage %,%,2.91,5.46,44,66.11,54.47,75.8,49.2,46.7,51.5,32.48,33.92
CAPITAL & EFFICIENCY,CRAR % (Group),%,2.45,7.96,12.74,13.62,13.89,12.96,13.42,12.99,13.06,11.73,10.24
CAPITAL & EFFICIENCY,Cost-to-Income Ratio % (Group),%,-101.27,98.73,65.3,54.17,47.05,65.4,54.9,,,60.02,55.3
DERIVED METRICS ,Estimated NPL amount (NPL% x Loans),Tk mn,272493.4365,245862.17517,33157.12572,19963.682607,18655.701015,10347.805,12275.2293,12746.888,11472.896,7472.588404,8118.155384
DERIVED METRICS ,NPL / Total Assets % (estimated),%,46.468700657791,43.4620747291467,6.25681109340459,4.24264511983283,4.54570377203944,2.84740322278846,3.87292295314718,4.50303914537946,4.53028284415733,3.73160991207737,4.49168563516381
DERIVED METRICS ,YoY NPAT growth %,%,-25.9994144627696,-1.34097564222015,-0.126902963393376,0.354584809130264,3.52135231316726,-0.770049099836334,0.556687898089172,-0.240812379110251,0.306768276114829,0.496991883761848,
DERIVED METRICS ,YoY Equity growth %,%,-0.817741114625677,-0.140618901434729,0.0748698265345593,0.111544365036607,0.199044692072808,0.0252063259747124,0.11218122626153,0.0767807585568918,0.475248520370051,0.125462596945284,
