Category,Metric,Unit,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
BALANCE SHEET,Total Assets,Tk mn,505192,457204,366606,353644,306501,336936,335163,282451,253068,"165,370†",189563
BALANCE SHEET,Loans & Advances,Tk mn,319105,300780,261023,253836,226012,228944,232051,209306,184027,"114,356†",130226
BALANCE SHEET,Total Deposits,Tk mn,364086,328837,262584,232657,211782,242358,240164,199629,167348,"131,272†",127990
BALANCE SHEET,Shareholders' Equity,Tk mn,30403,25505,24106,21331,19655,28976,25567,22966,21586,N/A,20496
INCOME STATEMENT,Net Interest Income,Tk mn,2848,8065,7253,3867,5747,5930,8159,7506,5745,N/A,3545
INCOME STATEMENT,Non-Interest Income,Tk mn,19647,14444,10233,12235,7057,8204,6439,5633,6656,N/A,6542
INCOME STATEMENT,Net Profit After Tax,Tk mn,3393,3167,2860,2369,2973,4103,4008,3081,2405,1464,2221
PER-SHARE & PROFITABILITY,EPS,BDT,3.14,3.22,2.91,2.65,3.66,5.05,4.94,4.17,3.26,3.3,3.63
PER-SHARE & PROFITABILITY,ROA %,%,0.0071,0.0077,0.0079,0.0072,0.0103,0.0122,0.013,0.0115,0.0104,N/A,0.0123
PER-SHARE & PROFITABILITY,ROE %,%,0.1214,0.1277,0.1259,0.1156,0.1622,0.1504,0.1652,0.1383,0.1141,0.1561,0.1095
ASSET QUALITY,Loan-Deposit Ratio %,%,0.7505,0.7676,0.8419,0.8397,0.8242,0.7413,0.772,0.8308,0.8306,N/A,0.8787
ASSET QUALITY,NPL % (gross),%,0.0577,0.0695,0.066,0.0577,0.058,0.0272,0.0335,0.0235,0.025,N/A,0.0327
ASSET QUALITY,Provision Coverage %,%,1.1107,0.9666,0.917,0.857,0.7111,1.7951,1.2042,1.5039,1.5952,N/A,1.1685
CAPITAL & EFFICIENCY,CRAR % (Group),%,0.1355,0.1362,0.1498,0.145,0.1441,0.1503,0.1474,0.1216,0.1409,N/A‡,0.1392
CAPITAL & EFFICIENCY,Cost-to-Income Ratio % (Group),%,0.5379,0.4759,0.5305,0.5154,0.5579,0.458,0.4376,0.4563,0.452,N/A,0.4833
DERIVED METRICS,Estimated NPL amount,Tk mn,18412.76,20904.21,17227.52,14646.3,13108.7,6227.3,7773.7,4918.7,4600.7,N/A,4258.4
DERIVED METRICS,NPL / Total Assets %,%,0.0364,0.0457,0.047,0.0414,0.0428,0.0185,0.0232,0.0174,0.0182,N/A,0.0225
DERIVED METRICS,YoY NPAT growth %,%,0.0714,0.1073,0.2073,-0.2032,n/a*,0.024,0.301,0.281,N/A,0.0713,0.054
DERIVED METRICS,YoY Equity growth %,%,0.192,0.058,0.1301,0.0853,n/a*,0.133,0.113,N/A,N/A,N/A,N/A
