Category,Metric,Unit,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
BALANCE SHEET,Total Assets,Tk mn,648977,548118,471285,431604,388100,345724,323788,295613,281467,256599,252161
BALANCE SHEET,Loans & Advances,Tk mn,353255,343458,315293,296481,263015,232400,213955,205810,198323,170212,151865
BALANCE SHEET,Total Deposits,Tk mn,444943,358868,305269,265841,243070,233028,216444,197518,199014,197934,194825
BALANCE SHEET,Shareholders' Equity,Tk mn,46394,39020,33614,30863,28377,27254,28150,27894,24901,25285,26415
INCOME STATEMENT,Net Interest Income,Tk mn,3766,9222,9284,8363,8063,5574,8273,7650,4894,3313,1294
INCOME STATEMENT,Non-Interest Income,Tk mn,21770,14616,8483,8139,6986,7080,5858,5250,7255,8710,10779
INCOME STATEMENT,Net Profit After Tax,Tk mn,8904,7446,4838,4022,3111,1797,1662,2193,1252,2195,2139
PER-SHARE & PROFITABILITY,EPS,BDT,7.67,6.42,4.27,3.55,2.75,1.59,1.47,1.94,1.11,2.13,2.08
PER-SHARE & PROFITABILITY,ROA %,%,1.49,1.46,1.07,0.98,0.85,0.54,0.54,0.76,0.45,0.86,0.84
PER-SHARE & PROFITABILITY,ROE %,%,20.85,20.56,15.01,13.58,11.18,6.67,5.93,8.31,5.07,8.49,8.41
ASSET QUALITY,Loan-Deposit Ratio %,%,68.28,78.1,79.35,85.3,83.99,79.5,80.11,82.65,84.43,85.99,77.95
ASSET QUALITY,NPL % (gross),%,2.73,4.22,3.54,3.42,4.83,3.46,4.66,6.16,5.45,5.96,7.82
ASSET QUALITY,Provision Coverage %,%,151,119,150,140,109,151,103,65,83,33.53,44.83
CAPITAL & EFFICIENCY,CRAR % (Group),%,18.07,17.37,17.59,16.78,17.17,17.28,17.42,17.04,14.01,12.3,12.69
CAPITAL & EFFICIENCY,Cost-to-Income Ratio % (Group),%,44.23,40.15,47.12,46.99,45.24,54.88,50.82,55.66,55.98,53.75,51.71
DERIVED METRICS,Estimated NPL amount,Tk mn,9631,14489,11168,10132,12713,8034,9966,12686,10799,10139.48,11882.8
DERIVED METRICS,NPL / Total Assets %,%,1.48,2.64,2.37,2.35,3.28,2.32,3.08,4.29,3.84,3.95,4.71
DERIVED METRICS,YoY NPAT growth %,%,19.58,53.9,20.29,29.28,73.12,n/a,-24.21,75.16,-11.21,2.62,N/A
DERIVED METRICS,YoY Equity growth %,%,18.9,16.08,8.91,8.76,4.12,n/a,0.92,12.02,1.64,-4.28,N/A
